section,page_title,page_url,source_file,link_url,link_text,http_status,reason,wayback_url,wayback_timestamp,wayback_status
best-practices,The Civil War in Art: Teaching and Learning Through Chicago Collections,/best-practices/using-primary-sources/25742,best-practices/using-primary-sources/the-civil-war-in-art-teaching-and-learning-through-chicago-collections-25742.md,https://www.terraamericanart.org/what-we-offer/american-art-resources/terra-teacher-lab/,TERRA Foundation for American Art,404,HTTP 404,http://web.archive.org/web/20220929050504/https://www.terraamericanart.org/what-we-offer/american-art-resources/terra-teacher-lab/,20220929050504,found
best-practices,The Thomas Jefferson Building: Secret Messages,/best-practices/using-primary-sources/25774,best-practices/using-primary-sources/the-thomas-jefferson-building-secret-messages-25774.md,http://www.loc.gov/teachers/classroommaterials/presentationsandactivities/jefferson.html,*The Thomas Jefferson Building: Secret Messages*,404,HTTP 404,http://web.archive.org/web/20190824172531/http://www.loc.gov:80/teachers/classroommaterials/presentationsandactivities/jefferson.html,20190824172531,found
best-practices,Thinking Like a Historian,/best-practices/using-primary-sources/25226,best-practices/using-primary-sources/thinking-like-a-historian-25226.md,http://www.uww.edu/cls/history/for-teachers,video,404,HTTP 404,http://web.archive.org/web/20160308161242/http://www.uww.edu:80/cls/history/for-teachers,20160308161242,found
blog,150 Years Ago Today...,/nhec-blog/24465,blog/150-years-ago-today-24465.md,http://www.archives.state.al.us/BA/,Alabama,404,HTTP 404; redirected to different domain: archives.alabama.gov,http://web.archive.org/web/20160925110239/http://www.archives.state.al.us:80/BA/,20160925110239,found
blog,150 Years Ago Today...,/nhec-blog/24465,blog/150-years-ago-today-24465.md,http://www.arkansascivilwar150.com/,Arkansas,404,HTTP 404; redirected to different domain: arkansasheritage.com,http://web.archive.org/web/20201105231737/http://www.arkansascivilwar150.com/,20201105231737,found
blog,150 Years Ago Today...,/nhec-blog/24465,blog/150-years-ago-today-24465.md,http://finalsite.ccsu.edu/page.cfm?p=2296,Connecticut,404,HTTP 404,,,not_archived
blog,150 Years Ago Today...,/nhec-blog/24465,blog/150-years-ago-today-24465.md,http://www.in.gov/history/INCivilWar.htm,Indiana,404,HTTP 404,http://web.archive.org/web/20110514203929/http://www.in.gov/history/INCivilWar.htm,20110514203929,found
blog,150 Years Ago Today...,/nhec-blog/24465,blog/150-years-ago-today-24465.md,http://mocivilwar150.com/,Missouri,CONN_ERROR,Connection failed (site may be down),http://web.archive.org/web/20250925220059/https://mocivilwar150.com/,20250925220059,found
blog,150 Years Ago Today...,/nhec-blog/24465,blog/150-years-ago-today-24465.md,http://www.nccivilwar150.com/,North Carolina,CONN_ERROR,Connection failed (site may be down),http://web.archive.org/web/20200629012225/http://www.nccivilwar150.com/,20200629012225,found
blog,150 Years Ago Today...,/nhec-blog/24465,blog/150-years-ago-today-24465.md,http://www.ohiocivilwar150.org/,Ohio,CONN_ERROR,Connection failed (site may be down),http://web.archive.org/web/20240521023301/http://ohiocivilwar150.org/,20240521023301,found
blog,150 Years Ago Today...,/nhec-blog/24465,blog/150-years-ago-today-24465.md,http://www.pacivilwar150.com/,Pennsylvania,CONN_ERROR,Connection failed (site may be down),http://web.archive.org/web/20211115151348/http://pacivilwar150.com/,20211115151348,found
blog,150 Years Ago Today...,/nhec-blog/24465,blog/150-years-ago-today-24465.md,http://www.virginiacivilwar.org/,Virginia,SSL_ERROR,SSL certificate error,,,not_archived
blog,150 Years Ago Today...,/nhec-blog/24465,blog/150-years-ago-today-24465.md,http://www.civilwar150.wv.gov/Pages/default.aspx,West Virginia,CONN_ERROR,Connection failed (site may be down),http://web.archive.org/web/20130320115408/http://www.civilwar150.wv.gov:80/Pages/default.aspx,20130320115408,found
blog,2009 Horizon Report: Emerging Technologies in Higher Education,/nhec-blog/20712,blog/2009-horizon-report-emerging-technologies-in-higher-education-20712.md,http://horizon.nmc.org/wiki/Main_Page,The Horizon Project Wiki,CONN_ERROR,Connection failed (site may be down),http://web.archive.org/web/20130501101810/http://horizon.nmc.org:80/wiki/Main_Page,20130501101810,found
blog,236 Years Since the Boston Tea Party,/nhec-blog/23603,blog/236-years-since-the-boston-tea-party-23603.md,http://www2.lib.virginia.edu/exhibits/sixties/,protest movements of the 1960s,CONN_ERROR,Connection failed (site may be down),http://web.archive.org/web/20130808114628/http://www2.lib.virginia.edu:80/exhibits/sixties/,20130808114628,found
blog,236 Years Since the Boston Tea Party,/nhec-blog/23603,blog/236-years-since-the-boston-tea-party-23603.md,http://en.wikipedia.org/wiki/List_of_Tea_Party_protests,throughout the year,404,HTTP 404,http://web.archive.org/web/20150521055902/http://en.wikipedia.org/wiki/List_of_Tea_Party_protests,20150521055902,found
blog,236 Years Since the Boston Tea Party,/nhec-blog/23603,blog/236-years-since-the-boston-tea-party-23603.md,http://www.common-place.org/pasley/?p=1448,links to diverse commentary and background materials,404,HTTP 404; redirected to different domain: commonplace.online,http://web.archive.org/web/20150713040805/http://www.common-place.org:80/pasley/?p=1448,20150713040805,found
blog,236 Years Since the Boston Tea Party,/nhec-blog/23603,blog/236-years-since-the-boston-tea-party-23603.md,http://www.common-place.org/pasley/?p=1420,the symbolic adaptation of the tea party analogy,404,HTTP 404; redirected to different domain: commonplace.online,http://web.archive.org/web/20150331150354/http://www.common-place.org/pasley/?p=1420,20150331150354,found
