section,page_title,page_url,source_file,link_url,link_text,link_kind,doc_heading,in_bibliography,in_caption,http_status,final_url,redirect_kind,remote_title,broken_category,bucket,bulk_delete_candidate,confidence,suggested_action,wayback_url,wayback_status
best-practices,Exploring Historical Texts in a Discussion-Based Class,/best-practices/teaching-in-action/20374,best-practices/teaching-in-action/exploring-historical-texts-in-a-discussion-based-class-20374.md,http://www.learner.org,Annenberg Media,hyperlink,,False,False,200,https://www.learner.org/,benign,Annenberg Learner - Annenberg Learner,live,none,False,high,ok,,
best-practices,Exploring Historical Texts in a Discussion-Based Class,/best-practices/teaching-in-action/20374,best-practices/teaching-in-action/exploring-historical-texts-in-a-discussion-based-class-20374.md,http://www.pbs.org/wnet/historyofus/web07/segment2b.html,Southern laws known as Black Codes.,hyperlink,Black Codes,False,False,403,https://www.thirteen.org/wnet/historyofus/web07/segment2b.html,substantive,,blocked-unknown,none,False,low,needs-subjective-review,,
best-practices,Exploring Historical Texts in a Discussion-Based Class,/best-practices/teaching-in-action/20374,best-practices/teaching-in-action/exploring-historical-texts-in-a-discussion-based-class-20374.md,http://www.learner.org/resources/series172.html#program_descriptions,http://www.learner.org/resources/series172.html#program_descriptions,bare_url,,False,False,,,none,,needs-human,none,False,low,ok,,
best-practices,FDR's Fireside Chats,/best-practices/teaching-in-action/24176,best-practices/teaching-in-action/fdrs-fireside-chats-24176.md,http://chnm.gmu.edu/mcpstah/source-analysis/fdr-fireside-chat/classroom-practice/,http://chnm.gmu.edu/mcpstah/source-analysis/fdr-fireside-chat/classroom-practice/,bare_url,,False,False,,,none,,needs-human,none,False,low,ok,,
best-practices,Foundations of American History: John Brown Song,/best-practices/teaching-in-action/22158,best-practices/teaching-in-action/foundations-of-american-history-john-brown-song-22158.md,http://chnm.gmu.edu/loudountah/index.php,"Foundations of U.S. History, Virginia History as U.S. History",hyperlink,,False,False,200,https://rrchnm.org,substantive,Roy Rosenzweig Center for History and New Media,C-candidate,none,False,medium,needs-subjective-review,,not_archived
best-practices,Foundations of American History: John Brown Song,/best-practices/teaching-in-action/22158,best-practices/teaching-in-action/foundations-of-american-history-john-brown-song-22158.md,http://chnm.gmu.edu/loudountah/,"*Foundations of U.S. History, Virginia History as U.S. History*",hyperlink,,False,False,200,https://chnm.gmu.edu/loudountah/,benign,Foundations of U.S. History: A TAH Grant,live,none,False,high,ok,,
best-practices,Foundations of American History: John Brown Song,/best-practices/teaching-in-action/22158,best-practices/teaching-in-action/foundations-of-american-history-john-brown-song-22158.md,http://chnm.gmu.edu/loudountah/source-analysis/john-brown-song/classroom-practice/,4th graders learning about John Brown's raid,hyperlink,,False,False,200,https://rrchnm.org,substantive,Roy Rosenzweig Center for History and New Media,C-candidate,none,False,medium,needs-subjective-review,,not_archived
best-practices,Foundations of American History: John Brown Song,/best-practices/teaching-in-action/22158,best-practices/teaching-in-action/foundations-of-american-history-john-brown-song-22158.md,http://web.archive.org/web/20190918095542/http://chnm.gmu.edu/loudountah/source-analysis/john-brown-song/get-the-songs/,"""John Brown's Body",hyperlink,,False,False,,,none,,needs-human,none,False,low,ok,,
best-practices,Foundations of American History: John Brown Song,/best-practices/teaching-in-action/22158,best-practices/teaching-in-action/foundations-of-american-history-john-brown-song-22158.md,http://web.archive.org/web/20190821121001/http://chnm.gmu.edu/loudountah/source-analysis/john-brown-song/scholar-analysis/,short videos of a scholar analyzing the song,hyperlink,,False,False,,,none,,needs-human,none,False,low,ok,,
best-practices,Foundations of American History: John Brown Song,/best-practices/teaching-in-action/22158,best-practices/teaching-in-action/foundations-of-american-history-john-brown-song-22158.md,http://web.archive.org/web/20190821110628/http://chnm.gmu.edu/loudountah/source-analysis/john-brown-song/teacher-analysis/,teacher reflecting on the lesson,hyperlink,,False,False,,,none,,needs-human,none,False,low,ok,,
best-practices,Foundations of American History: John Brown Song,/best-practices/teaching-in-action/22158,best-practices/teaching-in-action/foundations-of-american-history-john-brown-song-22158.md,http://chnm.gmu.edu/loudountah/lessons/lesson5/BrownBodyGuidingQuestions.pdf,Guiding Question worksheet,hyperlink,The Lesson in Action,False,False,200,https://rrchnm.org,substantive,Roy Rosenzweig Center for History and New Media,C-candidate,none,False,medium,needs-subjective-review,,not_archived
best-practices,Foundations of American History: John Brown Song,/best-practices/teaching-in-action/22158,best-practices/teaching-in-action/foundations-of-american-history-john-brown-song-22158.md,http://web.archive.org/web/20190917041154/http://chnm.gmu.edu/loudountah/source-analysis/john-brown-song/lesson-plan/,comprehensive lesson plan,hyperlink,The Lesson in Action,False,False,,,none,,needs-human,none,False,low,ok,,
best-practices,Geo-Literacy Project: Students Explore Their World,/best-practices/teaching-in-action/23798,best-practices/teaching-in-action/geo-literacy-project-students-explore-their-world-23798.md,http://web.archive.org/web/20220123203235/https://www.edutopia.org/geography-literacy-elementary-project-video,website,hyperlink,Viewing Instructions,False,False,,,none,,needs-human,none,False,low,ok,,
best-practices,Historical Context and Roleplaying,/best-practices/teaching-in-action/14947,best-practices/teaching-in-action/historical-context-and-roleplaying-14947.md,http://web.archive.org/web/20120928051948/http://www.tc.edu:80/ncrest/teachers/andrews/index.htm,website,hyperlink,,False,False,,,none,,needs-human,none,False,low,ok,,
best-practices,Massive Resistance through Political Cartoons,/best-practices/teaching-in-action/23894,best-practices/teaching-in-action/massive-resistance-through-political-cartoons-23894.md,http://chnm.gmu.edu/acpstah/,"Teaching American
  History",hyperlink,,False,False,200,https://chnm.gmu.edu/acpstah/,benign,Creating a More Perfect Community,live,none,False,high,ok,,
best-practices,Massive Resistance through Political Cartoons,/best-practices/teaching-in-action/23894,best-practices/teaching-in-action/massive-resistance-through-political-cartoons-23894.md,http://www.neh.gov/divisions/education/summer-programs,"National Endowment for the Humanities Summer
  Institute",hyperlink,,False,False,200,https://www.neh.gov/divisions/education/summer-programs,benign,Division of Education Professional Development Programs | National Endowment for the Humanities,live,none,False,high,ok,,
best-practices,Massive Resistance through Political Cartoons,/best-practices/teaching-in-action/23894,best-practices/teaching-in-action/massive-resistance-through-political-cartoons-23894.md,http://www.aamprogram.org/index2.aspx,"The Adventure
  of the American Mind",hyperlink,,False,False,200,http://www.aamprogram.org/index2.aspx,none,aamprogram.org,live,none,False,high,ok,,
best-practices,Massive Resistance through Political Cartoons,/best-practices/teaching-in-action/23894,best-practices/teaching-in-action/massive-resistance-through-political-cartoons-23894.md,http://chnm.gmu.edu/loudountah/source-analysis/massive-resistance-cartoons/classroom-practice/,http://chnm.gmu.edu/loudountah/source-analysis/massive-resistance-cartoons/classroom-practice/,bare_url,,False,False,,,none,,needs-human,none,False,low,ok,,
best-practices,"Of the Student, For the Student, By the Student",/best-practices/teaching-in-action/24614,best-practices/teaching-in-action/of-the-student-for-the-student-by-the-student-24614.md,http://www.hallowedground.org/Education/Service-Learning-Programs,http://www.hallowedground.org/Education/Service-Learning-Programs,bare_url,,False,False,,,none,,needs-human,none,False,low,ok,,
best-practices,Opening up the Textbook: Voices from My Lai,/best-practices/teaching-in-action/23893,best-practices/teaching-in-action/opening-up-the-textbook-voices-from-my-lai-23893.md,http://chnm.gmu.edu/mcpstah/,Conflict and Consensus: Key Moments in U.S. History,hyperlink,,False,False,200,https://chnm.gmu.edu/mcpstah/,benign,MCPS TAH: Conflict and Consensus,live,none,False,high,ok,,
best-practices,Opening up the Textbook: Voices from My Lai,/best-practices/teaching-in-action/23893,best-practices/teaching-in-action/opening-up-the-textbook-voices-from-my-lai-23893.md,http://chnm.gmu.edu/mcpstah/source-analysis/vietnam-war-cartoon/classroom-practice/,http://chnm.gmu.edu/mcpstah/source-analysis/vietnam-war-cartoon/classroom-practice/,bare_url,,False,False,,,none,,needs-human,none,False,low,ok,,
best-practices,Organize Your Thinking to Critically Analyze Text,/best-practices/teaching-in-action/25461,best-practices/teaching-in-action/organize-your-thinking-to-critically-analyze-text-25461.md,https://www.teachingchannel.org/videos/organize-your-thinking-to-critically-analyze-text?resume=0,video,hyperlink,,False,False,CONN_ERROR,,none,,A,none,False,high,needs-subjective-review,,not_archived
best-practices,Prologue to Studying the Emancipation Proclamation,/best-practices/teaching-in-action/21706,best-practices/teaching-in-action/prologue-to-studying-the-emancipation-proclamation-21706.md,http://chnm.gmu.edu/mcpstah/source-analysis/civil-war-letters/classroom-practice/,This website,hyperlink,,False,False,403,https://chnm.gmu.edu/mcpstah/source-analysis/civil-war-letters/classroom-practice/,benign,,blocked-unknown,none,False,low,needs-subjective-review,,
best-practices,Prologue to Studying the Emancipation Proclamation,/best-practices/teaching-in-action/21706,best-practices/teaching-in-action/prologue-to-studying-the-emancipation-proclamation-21706.md,http://chnm.gmu.edu/mcpstah/source-analysis/,Source Analysis,hyperlink,,False,False,403,https://chnm.gmu.edu/mcpstah/source-analysis/,benign,,blocked-unknown,none,False,low,needs-subjective-review,,
