section,subsection,page_title,page_url,source_file,total_links,live,dead_A,rebrand_probably_broken,rebrand_probably_fine,rebrand_needs_human,soft404_B,blocked_unknown,needs_human,bulk_delete_candidates,broken_with_wayback,broken_no_wayback,suggested_page_action
blog,,Especially for New Teachers,/nhec-blog/19268,blog/especially-for-new-teachers-19268.md,9,5,4,0,0,0,0,0,0,0,0,4,fix-links-only
blog,,Especially for Secondary School Teachers: American History on Facebook,/nhec-blog/22928,blog/especially-for-secondary-school-teachers-american-history-on-facebook-22928.md,15,14,1,0,0,0,0,0,0,3,0,1,fix-links-only
blog,,Especially for Teachers: Annenberg Media's Online U.S. History Textbook,/nhec-blog/22562,blog/especially-for-teachers-annenberg-medias-online-us-history-textbook-22562.md,3,2,1,0,0,0,0,0,0,0,0,1,fix-links-only
blog,,Family History and the 1940 Census,/nhec-blog/25641,blog/family-history-and-the-1940-census-25641.md,5,3,1,0,1,0,0,0,0,1,0,1,fix-links-only
blog,,Fee Free Days for National Parks,/nhec-blog/25696,blog/fee-free-days-for-national-parks-25696.md,3,2,1,0,0,0,0,0,0,2,0,1,fix-links-only
blog,,Film Review: Gods and Generals,/nhec-blog/25077,blog/film-review-gods-and-generals-25077.md,1,0,0,0,0,0,0,1,0,0,0,0,fix-links-only
blog,,Film Review: Ken Burns's Jazz,/nhec-blog/24840,blog/film-review-ken-burnss-jazz-24840.md,1,0,0,0,0,0,0,1,0,0,0,0,fix-links-only
blog,,Film Review: The Aviator,/nhec-blog/25061,blog/film-review-the-aviator-25061.md,1,0,0,0,0,0,0,1,0,0,0,0,fix-links-only
blog,,Film Review: The Tenth Inning,/nhec-blog/25076,blog/film-review-the-tenth-inning-25076.md,1,0,0,0,0,0,0,1,0,0,0,0,fix-links-only
blog,,Film Review: Titanic,/nhec-blog/24557,blog/film-review-titanic-24557.md,1,0,0,0,0,0,0,1,0,0,0,0,fix-links-only
blog,,Finding Professional Development,/nhec-blog/24336,blog/finding-professional-development-24336.md,16,5,9,0,0,0,0,2,0,3,0,9,fix-links-only
blog,,Flickr Update: The Commons,/nhec-blog/19981,blog/flickr-update-the-commons-19981.md,14,13,1,0,0,0,0,0,0,12,0,1,fix-links-only
blog,,Forty Years Ago: One Giant Leap for Mankind,/nhec-blog/22394,blog/forty-years-ago-one-giant-leap-for-mankind-22394.md,15,9,1,1,1,0,0,3,0,4,0,2,fix-links-only
blog,,Happy Presidents Day,/nhec-blog/21725,blog/happy-presidents-day-21725.md,8,7,0,1,0,0,0,0,0,0,0,1,fix-links-only
blog,,Highlights from the American Historical Association,/nhec-blog/19267,blog/highlights-from-the-american-historical-association-19267.md,3,2,0,0,0,0,0,1,0,0,0,0,fix-links-only
blog,,Hispanic Heritage Month,/nhec-blog/22561,blog/hispanic-heritage-month-22561.md,14,7,4,0,0,0,0,3,0,7,0,4,fix-links-only
blog,,"History Hitting Home: Children's History, Local History, and Digital Storytelling",/nhec-blog/25790,blog/history-hitting-home-childrens-history-local-history-and-digital-storytelling-25790.md,1,0,1,0,0,0,0,0,0,0,0,1,fix-links-only
blog,,"Howard Zinn, the People's Historian, Dies at 87",/nhec-blog/23816,blog/howard-zinn-the-peoples-historian-dies-at-87-23816.md,11,9,2,0,0,0,0,0,0,1,0,2,fix-links-only
blog,,IF . . . the Omnibus Spending Bill,/nhec-blog/21760,blog/if-the-omnibus-spending-bill-21760.md,1,0,0,0,0,0,0,1,0,0,0,0,fix-links-only
blog,,"In Remembrance: September 11, 2001",/nhec-blog/25078,blog/in-remembrance-september-11-2001-25078.md,22,14,4,0,2,1,0,1,0,2,0,4,fix-links-only
blog,,Interactive Exhibit from the American Art Museum,/nhec-blog/21991,blog/interactive-exhibit-from-the-american-art-museum-21991.md,9,7,2,0,0,0,0,0,0,2,0,2,fix-links-only
blog,,International Aid: How and When the U.S. Helps,/nhec-blog/24581,blog/international-aid-how-and-when-the-us-helps-24581.md,14,7,7,0,0,0,0,0,0,3,0,7,fix-links-only
blog,,Jennifer Orr on Questioning Columbus,/nhec-blog/24279,blog/jennifer-orr-on-questioning-columbus-24279.md,4,2,1,0,0,0,0,1,0,4,0,1,fix-links-only
blog,,Jennifer Orr on Teaching Thanksgiving,/nhec-blog/24377,blog/jennifer-orr-on-teaching-thanksgiving-24377.md,7,5,1,0,0,0,0,1,0,2,0,1,fix-links-only
blog,,Jennifer Orr Wins ISTE Kay L. Bitter Vision Award,/nhec-blog/25642,blog/jennifer-orr-wins-iste-kay-l-bitter-vision-award-25642.md,2,1,1,0,0,0,0,0,0,0,0,1,fix-links-only
blog,,Jeremiah McCall on Activities and Assessments for Simulation Games,/nhec-blog/25451,blog/jeremiah-mccall-on-activities-and-assessments-for-simulation-games-25451.md,5,2,2,0,0,0,0,0,1,0,0,2,fix-links-only
blog,,Jeremiah McCall on Evaluating Simulation Games for Classroom Use,/nhec-blog/25225,blog/jeremiah-mccall-on-evaluating-simulation-games-for-classroom-use-25225.md,6,4,2,0,0,0,0,0,0,0,1,1,fix-links-only
blog,,Joe Jelen: Old Newspapers Find a Home in New Technology,/nhec-blog/25157,blog/joe-jelen-old-newspapers-find-a-home-in-new-technology-25157.md,8,6,0,0,0,1,0,1,0,3,0,0,fix-links-only
blog,,Joe Jelen on Digital Timelines,/nhec-blog/24425,blog/joe-jelen-on-digital-timelines-24425.md,2,1,1,0,0,0,0,0,0,0,0,1,fix-links-only
blog,,Joe Jelen on Discovering History Through Student Genealogy Research,/nhec-blog/25372,blog/joe-jelen-on-discovering-history-through-student-genealogy-research-25372.md,7,6,1,0,0,0,0,0,0,0,0,1,fix-links-only
blog,,Joe Jelen on Document Cameras,/nhec-blog/24326,blog/joe-jelen-on-document-cameras-24326.md,3,2,1,0,0,0,0,0,0,0,0,1,fix-links-only
blog,,Joe Jelen on Google's Art Project,/nhec-blog/24540,blog/joe-jelen-on-googles-art-project-24540.md,5,3,1,0,0,0,0,1,0,2,0,1,fix-links-only
blog,,Joe Jelen on Political Cartoons 2.0,/nhec-blog/25415,blog/joe-jelen-on-political-cartoons-20-25415.md,13,11,1,0,0,0,0,0,1,6,0,1,fix-links-only
blog,,Joe Jelen on the New York Public Library Digital Gallery,/nhec-blog/24595,blog/joe-jelen-on-the-new-york-public-library-digital-gallery-24595.md,5,2,0,3,0,0,0,0,0,0,0,3,fix-links-only
blog,,Joe Jelen's Ads as Primary Sources: The Ad Council's Historic Campaigns,/nhec-blog/24697,blog/joe-jelens-ads-as-primary-sources-the-ad-councils-historic-campaigns-24697.md,5,2,3,0,0,0,0,0,0,1,1,2,fix-links-only
