old_url,native_url,notes
/category/keywords/berlin-airlift,/tags/berlin-airlift/,taxonomy exact
/category/keywords/bernard-law-montgomery,/tags/bernard-law-montgomery/,taxonomy exact
/category/keywords/best-practicds,/tags/,taxonomy fallback (index tags)
/category/keywords/betsy-ross,/tags/betsy-ross/,taxonomy exact
/category/keywords/betty-ford,/tags/betty-ford/,taxonomy exact
/category/keywords/beyond-classroom,/tags/beyond-the-classroom/,taxonomy exact
/category/keywords/bibliographies,/tags/bibliographies/,taxonomy exact
/category/keywords/big-bill-haywood,/tags/big-bill-haywood/,taxonomy exact
/category/keywords/bill-haywood,/tags/bill-haywood/,taxonomy exact
/category/keywords/bill-rights-founding-fathers-us-constitution,/tags/,taxonomy fallback (index tags)
/category/keywords/bing,/tags/bing/,taxonomy exact
/category/keywords/biological-weapons,/tags/,taxonomy fallback (index tags)
/category/keywords/biologists,/tags/biologists/,taxonomy exact
/category/keywords/biopics,/tags/biopics/,taxonomy exact
/category/keywords/bird-flu,/tags/bird-flu/,taxonomy exact
/category/keywords/black-robed-regiment,/tags/black-robed-regiment/,taxonomy exact
/category/keywords/blair-robertson,/tags/,taxonomy fallback (index tags)
/category/keywords/bland-county,/tags/bland-county/,taxonomy exact
/category/keywords/blogging,/tags/blogging/,taxonomy exact
/category/keywords/blogs-and-networking,/tags/blogs-and-networking/,taxonomy exact
/category/keywords/bluegrass,/tags/bluegrass/,taxonomy exact
/category/keywords/board-games,/tags/board-games/,taxonomy exact
/category/keywords/bob-hope,/tags/bob-hope/,taxonomy exact
/category/keywords/boston-vigilance-committee,/tags/boston-vigilance-committee/,taxonomy exact
/category/keywords/boxer,/tags/boxer/,taxonomy exact
/category/keywords/branches-government,/tags/,taxonomy fallback (index tags)
/category/keywords/brick-laying,/tags/,taxonomy fallback (index tags)
/category/keywords/brick-masons,/tags/,taxonomy fallback (index tags)
/category/keywords/bronx-zoo,/tags/,taxonomy fallback (index tags)
/category/keywords/brooklyn-history,/tags/,taxonomy fallback (index tags)
/category/keywords/bst-practices,/tags/bst-practices/,taxonomy exact
/category/keywords/buddhism,/tags/buddhism/,taxonomy exact
/category/keywords/buddhists,/tags/buddhists/,taxonomy exact
/category/keywords/bulletin-boards,/tags/bulletin-boards/,taxonomy exact
/category/keywords/bureaucracy,/tags/,taxonomy fallback (index tags)
/category/keywords/burial-practices,/tags/,taxonomy fallback (index tags)
/category/keywords/bus-boycotts,/tags/bus-boycotts/,taxonomy exact
/category/keywords/cajun,/tags/cajun/,taxonomy exact
/category/keywords/camp-kilmer,/tags/,taxonomy fallback (index tags)
/category/keywords/career,/tags/career/,taxonomy exact
/category/keywords/catharine-beecher,/tags/,taxonomy fallback (index tags)
/category/keywords/cave-ins,/tags/cave-ins/,taxonomy exact
/category/keywords/cell-phones,/tags/cell-phones/,taxonomy exact
/category/keywords/cellphones,/tags/cell-phones/,taxonomy exact
/category/keywords/census-census-history-census-takers,/tags/,taxonomy fallback (index tags)
/category/keywords/census-history,/tags/,taxonomy fallback (index tags)
/category/keywords/central-america,/tags/central-america/,taxonomy exact
/category/keywords/central-asia,/tags/central-asia/,taxonomy exact
/category/keywords/characters,/tags/characters/,taxonomy exact
/category/keywords/charities,/tags/charities/,taxonomy exact
/category/keywords/charity,/tags/charity/,taxonomy exact
/category/keywords/charles-darwin,/tags/,taxonomy fallback (index tags)
/category/keywords/charles-de-gaulle,/tags/charles-de-gaulle/,taxonomy exact
/category/keywords/charles-lee,/tags/charles-lee/,taxonomy exact
/category/keywords/charting,/tags/charting/,taxonomy exact
/category/keywords/chemical-emergencies,/tags/chemical-emergencies/,taxonomy exact
/category/keywords/chemical-emergency,/tags/chemical-emergency/,taxonomy exact
/category/keywords/cherokee-nation,/tags/cherokee-nation/,taxonomy exact
/category/keywords/cherry-trees,/tags/cherry-trees/,taxonomy exact
/category/keywords/chew-heong,/tags/chew-heong/,taxonomy exact
/category/keywords/chicago-history,/tags/,taxonomy fallback (index tags)
/category/keywords/chicago-seven,/tags/chicago-seven/,taxonomy exact
/category/keywords/chicanas,/tags/chicanas/,taxonomy exact
/category/keywords/chicanos,/tags/chicanos/,taxonomy exact
/category/keywords/child-welfare,/tags/child-welfare/,taxonomy exact
/category/keywords/childbirth,/tags/childbirth/,taxonomy exact
/category/keywords/childrens-bureau,/tags/childrens-bureau/,taxonomy exact
/category/keywords/chinese-exclusion,/tags/chinese-exclusion/,taxonomy exact
/category/keywords/choose-your-own-adventure,/tags/,taxonomy fallback (index tags)
/category/keywords/christopher-columbus,/tags/christopher-columbus/,taxonomy exact
/category/keywords/christopher-hamner,/tags/christopher-hamner/,taxonomy exact
