section,page_title,page_url,source_file,link_url,link_text,http_status,final_url,remote_title,redirect_domain_changed,needs_review,reason
best-practices,Making Sense of Advertisements,/best-practices/using-primary-sources/14566,best-practices/using-primary-sources/making-sense-of-advertisements-14566.md,http://historymatters.gmu.edu/mse/ads/,guide,404,https://historymatters.gmu.edu/mse/ads/,,False,True,HTTP 404
best-practices,Making Sense of American Popular Songs,/best-practices/using-primary-sources/14567,best-practices/using-primary-sources/making-sense-of-american-popular-songs-14567.md,http://historymatters.gmu.edu/mse/songs/,guide,403,https://historymatters.gmu.edu/mse/songs/,,False,True,HTTP 403
best-practices,Making Sense of Documentary Photography,/best-practices/using-primary-sources/14568,best-practices/using-primary-sources/making-sense-of-documentary-photography-14568.md,http://historymatters.gmu.edu/mse/photos/,guide,404,https://historymatters.gmu.edu/mse/photos/,,False,True,HTTP 404
best-practices,Making Sense of Films,/best-practices/using-primary-sources/14562,best-practices/using-primary-sources/making-sense-of-films-14562.md,http://historymatters.gmu.edu/mse/film/,Making Sense of Films,403,https://historymatters.gmu.edu/mse/film/,,False,True,HTTP 403
best-practices,Making Sense of Letters and Diaries,/best-practices/using-primary-sources/14565,best-practices/using-primary-sources/making-sense-of-letters-and-diaries-14565.md,http://historymatters.gmu.edu/mse/letters/,guide,403,https://historymatters.gmu.edu/mse/letters/,,False,True,HTTP 403
best-practices,Making Sense of Maps,/best-practices/using-primary-sources/14563,best-practices/using-primary-sources/making-sense-of-maps-14563.md,http://historymatters.gmu.edu/mse/maps/,Making Sense of Maps,403,https://historymatters.gmu.edu/mse/maps/,,False,True,HTTP 403
best-practices,Online Primary Source Collections,/best-practices/using-primary-sources/24491,best-practices/using-primary-sources/online-primary-source-collections-24491.md,http://www.ourdocuments.gov/content.php?flash=true&page=milestone,100 Milestone Documents,200,https://www.archives.gov/milestone-documents/list,Milestone Documents | National Archives,True,True,redirected to different domain: archives.gov
best-practices,Picturing America,/best-practices/using-primary-sources/24325,best-practices/using-primary-sources/picturing-america-24325.md,http://edsitement.neh.gov/curriculum-unit/composition-painting-everything-its-right-place,the basics of composition,200,https://www.neh.gov/project/edsitement,EDSITEment | National Endowment for the Humanities,True,True,redirected to different domain: neh.gov
best-practices,Picturing America,/best-practices/using-primary-sources/24325,best-practices/using-primary-sources/picturing-america-24325.md,http://picturingamerica.neh.gov/index.php?sec=gallery,20 pieces of art,CONN_ERROR,,,False,True,Connection failed (site may be down)
best-practices,Picturing America,/best-practices/using-primary-sources/24325,best-practices/using-primary-sources/picturing-america-24325.md,http://picturingamerica.neh.gov/educators.php?subPage=edu_guide,short essay,CONN_ERROR,,,False,True,Connection failed (site may be down)
best-practices,Picturing America,/best-practices/using-primary-sources/24325,best-practices/using-primary-sources/picturing-america-24325.md,http://picturingamerica.neh.gov/educators.php?subPage=edu_headstart,a guide,CONN_ERROR,,,False,True,Connection failed (site may be down)
best-practices,Primary Source Sets on the Web,/best-practices/using-primary-sources/24490,best-practices/using-primary-sources/primary-source-sets-on-the-web-24490.md,http://edsitement.neh.gov/subject/history-social-studies,EDSITEment,200,https://www.neh.gov/project/edsitement,EDSITEment | National Endowment for the Humanities,True,True,redirected to different domain: neh.gov
best-practices,Primary Source Sets on the Web,/best-practices/using-primary-sources/24490,best-practices/using-primary-sources/primary-source-sets-on-the-web-24490.md,https://hsi.wm.edu/,Historical Scene Investigation,CONN_ERROR,,,False,True,Connection failed (site may be down)
best-practices,Primary Source Sets on the Web,/best-practices/using-primary-sources/24490,best-practices/using-primary-sources/primary-source-sets-on-the-web-24490.md,http://www.gilderlehrman.org/history-now/2012-03/perspectives-america%E2%80%99s-wars,History Now,403,https://www.gilderlehrman.org/history-now/2012-03/perspectives-america%E2%80%99s-wars,,False,True,HTTP 403
best-practices,Primary Source Sets on the Web,/best-practices/using-primary-sources/24490,best-practices/using-primary-sources/primary-source-sets-on-the-web-24490.md,http://www.loc.gov/teachers/classroommaterials/primarysourcesets/,Primary Source Sets,403,https://www.loc.gov/classroom-materials/?fa=partof_type:primary+source+set,,False,True,HTTP 403
best-practices,Primary Source Sets on the Web,/best-practices/using-primary-sources/24490,best-practices/using-primary-sources/primary-source-sets-on-the-web-24490.md,http://sheg.stanford.edu/?q=node/45,Reading Like a Historian Curriculum,200,https://www.inquirygroup.org/?q=node/45,Digital Inquiry Group,True,True,redirected to different domain: inquirygroup.org
best-practices,SCIM-C: Historical Source Analysis,/best-practices/using-primary-sources/23513,best-practices/using-primary-sources/scim-c-historical-source-analysis-23513.md,http://www.historicalinquiry.com/scim/index.cfm,section,404,http://www.historicalinquiry.com/scim/index.cfm,,False,True,HTTP 404
best-practices,Secondary Sources: What Are They?,/best-practices/using-primary-sources/19080,best-practices/using-primary-sources/secondary-sources-what-are-they-19080.md,http://www.nationalhistoryday.org/,"National History Day,",CONN_ERROR,,,False,True,Connection failed (site may be down)
best-practices,Teaching with Historic Places,/best-practices/using-primary-sources/22432,best-practices/using-primary-sources/teaching-with-historic-places-22432.md,http://www.nps.gov/history/NR/twhp/,Teaching with Historic Places,404,https://www.nps.gov/nr/twhp/index.htm,,False,True,HTTP 404
best-practices,The Civil War in Art: Teaching and Learning Through Chicago Collections,/best-practices/using-primary-sources/25742,best-practices/using-primary-sources/the-civil-war-in-art-teaching-and-learning-through-chicago-collections-25742.md,http://www.civilwarinart.org/,The Civil War in Art: Teaching and Learning Through Chicago Collections,403,https://smarthistory.org/seeing-america-2/civil-war-in-art/,,True,True,HTTP 403; redirected to different domain: smarthistory.org
best-practices,The Civil War in Art: Teaching and Learning Through Chicago Collections,/best-practices/using-primary-sources/25742,best-practices/using-primary-sources/the-civil-war-in-art-teaching-and-learning-through-chicago-collections-25742.md,http://www.civilwarinart.org/lessonplans/CWIA_Teaching_with_Art.pdf,art analysis guide,403,https://smarthistory.org/seeing-america-2/civil-war-in-art/,,True,True,HTTP 403; redirected to different domain: smarthistory.org
best-practices,The Civil War in Art: Teaching and Learning Through Chicago Collections,/best-practices/using-primary-sources/25742,best-practices/using-primary-sources/the-civil-war-in-art-teaching-and-learning-through-chicago-collections-25742.md,https://www.terraamericanart.org/what-we-offer/american-art-resources/terra-teacher-lab/,TERRA Foundation for American Art,404,https://www.terraamericanart.org/what-we-offer/american-art-resources/terra-teacher-lab/,,False,True,HTTP 404
